IDENTIFIER: Reference ID,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: doi,REFERENCE: year,REFERENCE: title,sample_weight
58,Mo0.3 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,BCC,,,6.8,,C,25.0,1312.0,,,50.0,,112.0,,,,10.1016/j.matdes.2015.06.072,2015,Phase composition and solid solution strengthening effect in TiZrNbMoV high-entropy alloys,0.9140020296294233
58,Mo0.5 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,BCC,,,6.9,,C,25.0,1301.0,,,43.0,,122.0,,,,10.1016/j.matdes.2015.06.072,2015,Phase composition and solid solution strengthening effect in TiZrNbMoV high-entropy alloys,0.9275626589469494
58,Mo0.7 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,BCC,,,7.1,,C,25.0,1436.0,,,27.0,,130.0,,,,10.1016/j.matdes.2015.06.072,2015,Phase composition and solid solution strengthening effect in TiZrNbMoV high-entropy alloys,0.9140491039837096
58,Mo1 Nb0.769 Ti0.769 V0.231 Zr0.769,BCC,ANNEAL,BCC,,,7.4,,C,25.0,1603.0,,,20.0,,153.0,,,,10.1016/j.matdes.2015.06.072,2015,Phase composition and solid solution strengthening effect in TiZrNbMoV high-entropy alloys,0.9565833343275211
58,Mo1 Nb0.667 Ti0.667 V0.2 Zr0.667,BCC,ANNEAL,BCC,,,7.5,,C,25.0,1576.0,,,8.0,,159.0,,,,10.1016/j.matdes.2015.06.072,2015,Phase composition and solid solution strengthening effect in TiZrNbMoV high-entropy alloys,0.9905317322075072
58,Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,BCC,,,6.5,,C,25.0,866.0,,,45.0,,96.0,,,,10.1016/j.matdes.2015.06.072,2015,Phase composition and solid solution strengthening effect in TiZrNbMoV high-entropy alloys,0.8432464343834682
58,Nb1 Ti1 V1 Zr1,BCC,ANNEAL,BCC,,,6.5,,C,25.0,1104.0,,,50.0,,100.0,,,,10.1016/j.matdes.2015.06.072,2015,Phase composition and solid solution strengthening effect in TiZrNbMoV high-entropy alloys,0.9789431799153056
59,Mo0.667 Nb0.667 Ti0.667 V1 Zr0.667,BCC,CAST,BCC,,,7.1,,C,25.0,1735.0,3300.0,20.0,,,140.0,,,,10.1007/s11837-012-0366-5,2012,Alloy Design and Properties Optimization of High-Entropy Alloys,0.8717245388039103
59,Mo0.5 Nb0.5 Ti0.5 V1 Zr0.5,BCC,CAST,BCC,,,7.0,,C,25.0,1538.0,3176.0,23.0,,,139.0,,,,10.1007/s11837-012-0366-5,2012,Alloy Design and Properties Optimization of High-Entropy Alloys,0.8484131735792614
59,Mo0.333 Nb0.333 Ti0.333 V1 Zr0.333,BCC,CAST,BCC,,,6.9,,C,25.0,1418.0,2508.0,24.0,,,138.0,,,,10.1007/s11837-012-0366-5,2012,Alloy Design and Properties Optimization of High-Entropy Alloys,0.8421166417176854
